"ntd_id","state_parent_ntd_id","agency_name","division_department","doing_business_as","reporter_type","reporting_module","organization_type","reported_by_ntd_id","reported_by_name","public_sponsor","subrecipient_type","fy_end_date","original_due_date","address_line_1","address_line_2","p_o_box","city","state","zip_code","zip_code_ext","region","url","fta_recipient_id","ueid","service_area_sq_miles","service_area_pop","primary_uza_uace_code","uza_name","tribal_area_name","population","density","sq_miles","voms_do","voms_pt","total_voms","volunteer_drivers","personal_vehicles","tam_tier","number_of_state_counties","number_of_counties_with","state_admin_funds_expended","street_address_geo_reference"
"00001",,"King County","Metro Transit Department","King County Metro","Full Reporter","Urban","City, County or Local Government Unit or Department of Transportation",,,,,"2024-12-31T00:00:00.000","2025-04-30T00:00:00.000","201 S Jackson St",,,"Seattle","WA","98104","3854","10","http://metro.kingcounty.gov/","1731","E1D1LQ5QENJ8","2134","2347800","80389","Seattle--Tacoma, WA",,"3544011","3607.10","982.5","1849","503","2352",,,"Tier I (Rail)",,,,"POINT (-122.33088 47.59921)"
"00002",,"Spokane Transit Authority",,,"Full Reporter","Urban","Independent Public Agency or Authority of Transit Service",,,,,"2024-12-31T00:00:00.000","2025-04-30T00:00:00.000","1230 W Boone Ave",,,"Spokane","WA","99201","2658","10","http://www.spokanetransit.com/","1733","QV32KQAKHCE3","248","475470","83764","Spokane, WA",,"447279","2605.40","171.7","278","38","316",,,"Tier I (Fixed Route VOMS)",,,,"POINT (-117.43064 47.66804)"
"00003",,"Pierce County Transportation Benefit Area Authority",,"Pierce Transit","Full Reporter","Urban","Independent Public Agency or Authority of Transit Service",,,,,"2024-12-31T00:00:00.000","2025-04-30T00:00:00.000","3701 96th St Sw",,"99070","Lakewood","WA","98499","4431","10","http://www.piercetransit.org/","1730","QACHE3STYGK3","292","575963","80389","Seattle--Tacoma, WA",,"3544011","3607.10","982.5","341","75","416",,,"Tier I (Fixed Route VOMS)",,,,"POINT (-122.48475 47.17058)"
"00004",,"Confederated Tribes of the Colville Indian Reservation",,,"Reduced Reporter","Tribe","Tribe",,,,,"2024-09-30T00:00:00.000","2025-01-31T00:00:00.000","21 Colville Street",,"150","Nespelem","WA","99155",,"10","https://www.colvilletribes.com/transit-inchelium-ferry","6683","NU9UAKLRDDP1",,,"00053","Washington Non-UZA","Colville Reservation and Off-Reservation Trust Land, WA","1895776","0","0","5",,"5",,,"Tier II",,,,
"00005",,"City of Everett",,"Everett Transit","Full Reporter","Urban","City, County or Local Government Unit or Department of Transportation",,,,,"2024-12-31T00:00:00.000","2025-04-30T00:00:00.000","3201 Smith Ave Ste 215",,,"Everett","WA","98201","4594","10","http://www.everetttransit.org/","1743","NB35N2NU35J3","34","111180","80389","Seattle--Tacoma, WA",,"3544011","3607.10","982.5","50",,"50",,,"Tier II",,,,"POINT (-122.19793 47.97579)"
"00006",,"City of Yakima",,"Yakima Transit","Full Reporter","Urban","City, County or Local Government Unit or Department of Transportation",,,,,"2024-12-31T00:00:00.000","2025-04-30T00:00:00.000","129 N 2nd St",,,"Yakima","WA","98901","2613","10","http://www.yakimatransit.org/","1750","FJNNX1XFJ9K3","33","100716","97507","Yakima, WA",,"133145","2387.40","55.8","18","25","43",,,"Tier II",,,,"POINT (-120.50507 46.60468)"
"00007",,"Lane Transit District",,,"Full Reporter","Urban","Independent Public Agency or Authority of Transit Service",,,,,"2024-06-30T00:00:00.000","2024-10-31T00:00:00.000","3500 E 17th Ave",,,"Eugene","OR","97403","2375","10","http://www.ltd.org/","1738","U5LFCFM1A8J5","482","327173","28117","Eugene, OR",,"270179","3676.60","73.5","66","75","141",,,"Tier II",,,,"POINT (-123.04138 44.0423)"
"00008",,"Tri-County Metropolitan Transportation District of Oregon",,"TriMet","Full Reporter","Urban","Independent Public Agency or Authority of Transit Service",,,,,"2024-06-30T00:00:00.000","2024-10-31T00:00:00.000","101 Sw Main St Ste 700",,,"Portland","OR","97204","3240","10","http://www.trimet.org/","1728","YXFYCBFAF5S3","376","1512100","71317","Portland, OR--WA",,"2104238","4052.10","519.3","561","243","804",,,"Tier I (Rail)",,,,"POINT (-122.67554 45.51519)"
"00009",,"Kalispel Tribe of Indians",,,"Reduced Reporter","Tribe","Tribe",,,,,"2024-12-31T00:00:00.000","2025-04-30T00:00:00.000","1981 Leclerc Rd N",,"39","Cusick","WA","99119","9682","10","http://www.kalispeltribe.com/","6680","XY4MRBMRTWL5",,,"00053","Washington Non-UZA","Kalispel Reservation and Off-Reservation Trust Land, WA","1895776","0","0",,,,,,"Tier II",,,,"POINT (-117.27165 48.34559)"
"00010",,"Klamath Tribes","Planning Department","Quail Trail","Reduced Reporter","Tribe","Tribe",,,,,"2024-12-31T00:00:00.000","2025-04-30T00:00:00.000","501 S. Chiloquin Blvd.",,"436","Chiloquin","OR","97624","6773","10","https://klamathtribes.org/planning-and-enterprise-department/","6806","SH4JJFWHQHH4",,,"00041","Oregon Non-UZA","Klamath Reservation, OR","1553447","0","0","7",,"7",,,"Tier II",,,,"POINT (-121.8753 42.57476)"
